,1.0
n qv,1.79107940811e-07
vn wd,0.00178453771446
c,0.0133572926026
n vx,1.33883185756e-06
d {{vb\negative},6.9229044293e-06
{{nb\negative}} {{vb\positive},2.42997756527e-05
wyz {{ab\positive}},3.5912103786e-05
m ude1,0.000656670380675
s,0.0209244284716
wd {{xb\positive},2.05835646411e-07
{{ab\negetive}},7.98642308076e-05
n {{vshib\positive},2.68661911217e-08
wn {{vb\positive},3.44469347165e-05
{{ab\negative}} ude1,0.00445043426176
m vshi,1.19715999903e-05
n {{nb\negative}},1.44405777279e-05
nz cc,0.000126545436139
rr d,0.00942558234942
s n,0.00679608025136
ude1 {{ab\negative},4.29955482141e-06
cc,0.00449236298293
s b,6.96144798118e-05
n {{vxb\positive},4.47769852028e-09
{{vb\Negative}} d,0.0172173970916
{{vb\positive}} {{nb\positive},5.41754177135e-05
{{vb\positive}} ude1,0.00103937955158
rr p,0.00189167466402
{{vnb\Positive}} wd,0.0174303683738
rr v,0.0257146792059
vshi v,0.00893206381366
nr1,0.00051911750025
wj x,0.00747728860936
nz {{bb\positive},1.78100984195e-06
wd {{vb\positive}},5.38603274777e-05
a {{vib\negative},3.92346112046e-07
wd {{dlb\positive},2.2870627379e-08
ag,0.000738744134971
vyou wyz,5.50915295849e-05
qv vx,2.29609663572e-05
wd p,0.00161924041844
{{vb\negative}} n,0.0232248655546
v {{nb\positice},5.09208306603e-09
rzs v,0.018066210519
{{vb\negative}} {{vb\positive},4.54300153507e-05
{{nb\positive}} {{vdb\negative},2.81212080309e-07
f v,0.0186154547042
ry vshi,0.000185933912349
ns n,0.0368394419143
nrf,0.000179694519317
m {{vnb\positive},5.30285637153e-06
f d,0.00437445268126
n {{vlb\negative},1.16420161527e-07
wyy d,0.00381324902029
v {{anb\positive},4.07366645282e-08
d {{vib\positive},1.02647300903e-06
ude1 {{vnb\negtive},2.68722176338e-08
n {{ngb\positive},8.95539704055e-09
qv {{adb\negtive},2.99490865529e-06
ude1 {{ab\Negative},2.68722176338e-08
d {{db\negtive},6.17427373851e-08
{{bb\positive}},0.000379355096336
c {{db\negative},2.14881338496e-06
v {{ab\positive}},1.50114608787e-05
n,0.0890286512928
v vd,4.07366645282e-07
v vf,9.78698365291e-06
n b,8.18075519654e-05
wd {{vib\positive},4.34541920202e-07
wd {{adb\positive},1.73816768081e-06
ww mq,3.5728734835e-05
{{bb\positive}} n,0.0421714664019
wyz {{nb\negative},8.64302497834e-05
vd,0.000319456923231
vf,0.00123789557752
vg,0.000698812019567
{{adb\negative}},5.98981731057e-05
vi,0.00369372067485
{{nb\positive}} {{vb\positive},2.20751483042e-05
vl,0.00115803134671
vn,0.0083857442348
v {{vdb\Positive},5.09208306603e-09
wky,0.00113806528901
n rr,1.84033409183e-06
wkz,0.00117799740441
vshi {{nb\negative}},5.18581498701e-05
vx,0.000459219327144
nsf {{vb\positive},0.000104489035307
q {{bb\positive}},1.32179476075e-06
n x,0.000241473325801
v d,0.000856259227968
p wyz,1.00845511783e-05
v a,0.000181909575451
v c,7.8351882137e-05
p {{nb\negative}},1.09136501845e-05
v n,0.00728849708365
v vshi,1.44156871599e-05
v t,0.000110370900456
uden v,0.00690766872787
v v,0.00495158231007
v q,2.63057011191e-05
v p,0.000522753247559
ude1 {{xb\positive},2.41849958704e-07
n {{vnb\negative}},1.77316861403e-06
n {{db\positive}},8.0598573365e-07
v x,0.000213582332122
ude1 {{nb\N},2.68722176338e-08
uls vshi,0.000247911883132
q {{nb\negative},5.38457444644e-05
wyz {{nb\positive},3.80561099822e-05
cc {{vb\negative},6.12292436192e-06
n {{vb\negative}},4.63441796848e-06
{{vb\negative}} c,0.000387167901524
ad {{ab\positive},7.86897568252e-05
wky wn,0.000318756359802
n {{db\positive},8.0598573365e-07
rzv {{zb\negative},2.4649453953e-07
cc {{vb\positive},5.57274854969e-05
uden {{ab\positive}},7.86897568252e-05
p {{nb\negative},1.09136501845e-05
vn cc,0.000128353228084
wkz {{db\positive}},1.01522327298e-05
wyz,0.00297494259758
wyy,0.00297494259758
cc {{zb\positive},3.54952136923e-07
nz d,0.00484997101172
vg x,0.00256364180892
{{nb\positive}} {{nb\positive},9.98302885095e-05
x r,0.00024031243015
y,0.0129779375062
{{vb\positive}},0.0031346710592
nz n,0.0284222924315
m n,0.0094940010433
rz {{nb\negative},2.81488682355e-05
s ad,2.59101512162e-06
cc {{db\negative},3.19456923231e-06
{{nb\positive}} {{db\negetive},2.81212080309e-07
{{nb\positive}} ude1,0.00146258402968
a ude1,0.000728782903126
vi ude1,0.00120282007074
p {{nb\positive}},1.20134753969e-05
d vg,1.3506223803e-06
wyz {{vb\positive},2.10380608e-05
d vi,4.28340240609e-05
{{bb\negative}} {{nb\negative},0.00128781072177
{{db\positive}},0.000598981731057
m wd,0.00115734840309
{{ab\positive}} {{nb\positive},0.000105790305734
vf {{nb\positive},4.57287128011e-05
ryv {{vb\positive},0.000223905075657
wd rzv,3.89029371718e-05
n {{ab\Positive},2.23884926014e-08
vshi nz,0.00017125249492
cc {{nb\positive}},0.000126008008608
c {{cb\negative},2.98446303466e-08
vyou,0.0010781671159
wn {{vb\negtive},6.5822168248e-07
v {{vnb\negative},5.04116223537e-07
f {{adb\positive}},1.23568435289e-06
ude1 nz,9.1580517696e-05
n v,0.00934035373774
n q,1.15658952779e-05
n p,0.000459680530091
n s,3.7541024394e-05
n r,7.53507106992e-05
n m,8.01149819248e-05
nl wyy,0.000520614954577
n n,0.0122192273136
ude1 {{vib\positive},5.10572135042e-07
vshi nr,1.08540313682e-05
n d,0.00240943166297
n f,0.000140214651464
n a,0.000164062873783
n c,0.000374447538758
cc {{db\negative}},3.19456923231e-06
w {{ab\positive}},3.32974702185e-06
v rz,2.70236848314e-05
a n,0.00835858516504
d,0.0516521912748
v {{nb\positive},1.22922885214e-05
mq {{nb\positive},8.3387652755e-05
v rr,2.65093844418e-05
wd {{vlb\positive},1.57807328915e-06
vshi {{db\positive},1.20600348535e-05
vn ude1,0.0011655899257
{{nb\positive}} {{zb\positive},5.62424160617e-07
a x,0.000130607661299
c vshi,3.55747993732e-05
t,0.0254567235699
n {{nb\positive}},1.14449974178e-05
n {{vdb\positive},8.95539704055e-09
q {{ab\positive},5.59327888235e-05
vshi {{blb\positive},1.34000387261e-06
{{vnb\negative}} {{nb\negative},0.000156098269306
ude1 {{anb\Negative},2.68722176338e-08
nl d,0.00129130478187
p c,1.13197394937e-05
ng {{db\negative},2.66214102692e-06
d {{vlb\positive},8.87551849911e-07
nt wd,0.00102531578669
ule t,0.000830110551193
{{vb\positive}} {{vb\positive}},9.98302885095e-05
d {{nb\negative},2.986804921e-06
wyz {{ab\positive},3.5912103786e-05
